iter	MAE
1039	1183345.926
1040	1183325.343
1041	1183214.967
1042	1183136.578
1043	1182932.901
1044	1182688.605
1045	1182671.479
1046	1182466.991
1047	1181693.692
1048	1181570.28
1049	1181137.797
1050	1181053.656
1051	1180964.043
1052	1180928.094
1053	1180529.958
1054	1180453.863
1055	1180446.564
1056	1180206.853
1057	1180067.749
1058	1179977.672
1059	1179952.098
1060	1179937.356
1061	1179727.425
1062	1179682.677
1063	1179673.177
1064	1179323.208
1065	1179299.705
1066	1179263.37
1067	1179208.189
1068	1179155.177
1069	1179071.319
1070	1179004.567
1071	1178943.187
1072	1178920.379
1073	1178902.792
1074	1178801.578
1075	1178785.362
1076	1178719.858
1077	1178408.67
1078	1178210.414
1079	1178133.486
1080	1177653.955
1081	1177580.215
1082	1177420.652
1083	1177110.013
1084	1177063.325
1085	1177012.551
1086	1176974.787
1087	1176942.977
1088	1176880.939
1089	1176853.373
1090	1176826.377
1091	1176750.616
1092	1176261.968
1093	1176225.454
1094	1176160.173
1095	1176147.214
1096	1176069.723
1097	1175855.39
1098	1175792.618
1099	1175583.563
1100	1175554.007
1101	1175543.926
1102	1175357.518
1103	1175346.325
1104	1175274.828
1105	1175104.509
1106	1175090.291
1107	1174890.67
1108	1174879.325
1109	1174860.776
1110	1174818.447
1111	1174697.407
1112	1174599.18
1113	1174414.82
1114	1174350.633
1115	1174175.838
1116	1174133.562
1117	1174037.353
1118	1174034.729
1119	1173875.814
1120	1173783.811
1121	1173602.623
1122	1173455.661
1123	1173363.713
1124	1173334.351
1125	1173243.812
1126	1173166.575
1127	1173107.329
1128	1173072.913
1129	1173013.624
1130	1172959.275
1131	1172842.603
1132	1172751.395
1133	1172732.566
1134	1172609.283
1135	1172555.032
1136	1172401.476
1137	1172387.516
1138	1172383.697
1139	1172364.777
1140	1172342.767
1141	1172304.286
1142	1172300.122
1143	1172221.713
1144	1172133.273
1145	1172085.725
1146	1172040.572
1147	1171880.596
1148	1171708.664
1149	1171701.34
1150	1171667.283
1151	1171642.328
1152	1171597.626
1153	1171512.252
1154	1171477.365
1155	1171466.8
1156	1171407.394
1157	1171314.02
1158	1170889.329
1159	1170659.184
1160	1170636.971
1161	1170334.998
1162	1170042.837
1163	1169981.072
1164	1169935.007
1165	1169728.614
1166	1169596.044
1167	1169542.439
1168	1169511.667
1169	1169387.548
1170	1169164.577
1171	1168987.921
1172	1168978.451
1173	1168824.565
1174	1168766.989
1175	1168692.784
1176	1168471.558
1177	1168394.981
1178	1168370.28
1179	1168311.571
1180	1168246.627
1181	1168037.258
1182	1167856.35
1183	1167846.559
1184	1167688.059
1185	1167517.51
1186	1167506.109
1187	1167465.012
1188	1167174.551
1189	1166979.974
1190	1166886.362
1191	1166743.882
1192	1166421.036
1193	1166337.585
1194	1166287.955
1195	1166035.555
1196	1165971.818
1197	1165866.97
1198	1165779.253
1199	1165636.522
1200	1165603.536
1201	1165491.883
1202	1165410.362
1203	1165334.553
1204	1165137.802
1205	1164994.426
1206	1164869.674
1207	1164837.769
1208	1164802.027
1209	1164776.569
1210	1164767.245
1211	1164763.859
1212	1164688.031
1213	1164435.961
1214	1164348.294
1215	1164339.592
1216	1164205.253
1217	1163993.516
1218	1163873.339
1219	1163794.118
1220	1163762.231
1221	1163687.483
1222	1163636.229
1223	1163359.042
1224	1163354.209
1225	1163223.307
1226	1163170.001
1227	1163168.918
1228	1163161.445
1229	1163128.24
1230	1163125.671
1231	1163083.757
1232	1163053.006
1233	1162956.609
1234	1162845.584
1235	1162844.232
1236	1162808.407
1237	1162739.436
1238	1162570.326
1239	1162544.701
1240	1162521.776
1241	1162488.509
1242	1162477.289
1243	1162377.083
1244	1162251.494
1245	1162210.167
1246	1162125.062
1247	1162088.505
1248	1162019.394
1249	1161855.415
1250	1161720.608
1251	1161676.793
1252	1161568.876
1253	1161399.525
1254	1161345.584
1255	1161226.016
1256	1161160.075
1257	1160555.575
1258	1160533.864
1259	1160456.091
1260	1160353.779
1261	1160329.219
1262	1160137.425
1263	1159930.855
1264	1159879.773
1265	1159780.682
1266	1159719.256
1267	1159652.354
1268	1159615.665
1269	1159538.074
1270	1159410.509
1271	1159331.93
1272	1159304.257
1273	1159262.802
1274	1159210.013
1275	1159179.091
1276	1159028.163
1277	1158972.269
1278	1158801.29
1279	1158617.103
1280	1158591.142
1281	1158537.812
1282	1158493.498
1283	1158316.883
1284	1158304.03
1285	1158288.711
1286	1158047.472
1287	1157979.307
1288	1157881.851
1289	1157848.165
1290	1157751.801
1291	1157657.019
1292	1157654.958
1293	1157552.036
1294	1157381.319
1295	1157357.028
1296	1157326.254
1297	1157300.581
1298	1157234.981
1299	1157105.653
1300	1157063.078
1301	1156981.947
1302	1156786.961
1303	1156782.738
1304	1156462.041
1305	1156147.758
1306	1156081.942
1307	1155916.119
1308	1155826.132
1309	1155821.012
1310	1155742.845
1311	1155237.291
1312	1155067.808
1313	1155025.429
1314	1154964.569
1315	1154935.348
1316	1154866.987
1317	1154793.314
1318	1154680.408
1319	1154534.279
1320	1154513.123
1321	1154475.137
1322	1154423.631
1323	1154330.292
1324	1154313.011
1325	1154232.396
1326	1154178.832
1327	1154160.555
1328	1154155.769
1329	1154054.398
1330	1153837.197
1331	1153822.121
1332	1153815.282
1333	1153775.759
1334	1153710.261
1335	1153527.148
1336	1153334.301
1337	1153319.013
1338	1153201.924
1339	1153157.765
1340	1153016.281
1341	1152991.68
1342	1152945.085
1343	1152912.945
1344	1152876.255
1345	1152870.981
1346	1152816.561
1347	1152811.097
1348	1152750.584
1349	1152383.015
1350	1152379.929
1351	1152329.872
1352	1152306.515
1353	1152304.544
1354	1152192.752
1355	1151982.039
1356	1151841.945
1357	1151818.072
1358	1151800.417
1359	1151715.223
1360	1151691.387
1361	1151634.492
1362	1151626.835
1363	1151572.906
1364	1151553.302
1365	1151458.535
1366	1151401.02
1367	1151360.925
1368	1151344.67
1369	1151329.083
1370	1151240.464
1371	1151196.316
1372	1151179.417
1373	1151142.757
1374	1151134.058
1375	1151119.851
1376	1151116.447
1377	1151021.701
1378	1150718.11
1379	1150679.054
1380	1150665.697
1381	1150650.808
1382	1150591.756
1383	1150511.196
1384	1150499.837
1385	1150405.083
1386	1150349.532
1387	1150270.131
1388	1150172.633
1389	1150167.059
1390	1150146.238
1391	1150069.638
1392	1150017.103
1393	1150011.495
1394	1149929.208
1395	1149884.14
1396	1149853.582
1397	1149525.701
1398	1149333.732
1399	1149325.133
1400	1149263.165
1401	1149235.557
1402	1149173.786
1403	1149152.667
1404	1149106.493
1405	1149064.804
1406	1148977.557
1407	1148902.73
1408	1148644.246
1409	1148551.187
1410	1148475.682
1411	1148428.858
1412	1148426.079
1413	1148420.155
1414	1148415.063
1415	1148317.438
1416	1148168.279
1417	1147938.704
1418	1147818.118
1419	1147757.24
1420	1147432.034
1421	1147206.501
1422	1147168.47
1423	1147021.117
1424	1146995.794
1425	1146904.421
1426	1146448.459
1427	1146428.995
1428	1146375.253
1429	1146367.475
1430	1146317.566
1431	1146309.085
1432	1146204.074
1433	1146165.397
1434	1146119.889
1435	1145996.999
1436	1145959.039
1437	1145865.146
1438	1145465.881
1439	1145188.95
1440	1145113.745
1441	1145065.232
1442	1145026.663
1443	1145015.054
1444	1144908.559
1445	1144738.706
1446	1144716.298
1447	1144699.123
1448	1144669.254
1449	1144624.669
1450	1144498.075
1451	1144495.39
1452	1144480.605
1453	1144326.77
1454	1144307.552
1455	1144199.085
1456	1144164.515
1457	1143884.121
1458	1143784.384
1459	1143777.359
1460	1143709.82
1461	1143675.38
1462	1143598.118
1463	1143496.127
1464	1143487.335
1465	1143283.683
1466	1143274.777
1467	1143227.975
1468	1142948.358
1469	1142885.878
1470	1142881.494
1471	1142858.003
1472	1142657.491
1473	1142587.827
1474	1142483.301
1475	1142397.057
1476	1142381.055
1477	1142372.01
1478	1142261.545
1479	1142139.651
1480	1142104.999
1481	1142084.651
1482	1142050.725
1483	1142017.31
1484	1141964.987
1485	1141747.518
1486	1141745.073
1487	1141738.355
1488	1141702.604
1489	1141683.335
1490	1141617.184
1491	1141452.821
1492	1141432.579
1493	1141431.155
1494	1141428.872
1495	1141356.509
1496	1141221.472
1497	1141214.913
1498	1141124.645
1499	1141117.091
